timestep	temperature	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
0	0	53962.27929	0	0
10	3.758982863	1.564900079e+19	377.7777778	0
20	3.758982863	1334164057	377.7777778	0
30	3.758982863	832029.0943	377.7777778	0
40	3.758982863	26290.65268	377.7777778	0
50	3.758982863	16413.46298	377.7777778	0
60	3.582469695	15110.87047	360.0382044	0
70	3.63461701	14221.34382	365.2790095	0
80	3.445115541	13445.45382	346.2341119	0
90	3.263555907	12859.43039	327.9873686	0
100	2.948746131	12453.66737	296.3489861	0
110	3.137609235	12014.61942	315.3297281	0
120	3.306132844	11500.33002	332.2663508	0
130	3.384892624	11003.55259	340.1817087	0
140	3.018941636	10572.09167	303.4036345	0
150	2.989757492	10256.60543	300.470628	0
160	2.792634822	9936.21451	280.6597996	0
170	2.613393506	9631.779524	262.6460473	0
180	2.942648126	9207.384254	295.7361366	0
190	2.871616469	8828.94522	288.5974551	0
200	3.025499547	8462.89113	304.0627045	0
210	3.089751791	8143.266396	310.520055	0
220	2.825203501	7914.647251	283.9329518	0
230	3.021162735	7680.430801	303.6268548	0
240	2.89187535	7545.105382	290.6334727	0
250	2.953649049	7413.93076	296.8417294	0
260	2.528874326	7355.636814	254.1518697	0
270	2.837865847	7256.541478	285.2055176	0
280	2.818880769	7123.90579	283.2975173	0
290	2.497722212	7072.394218	251.0210823	0
300	2.053458226	7059.142604	206.3725517	0
310	2.230417519	6996.323455	224.1569607	0
320	2.026104515	6975.58639	203.6235038	0
330	2.614401101	6869.893288	262.7473106	0
340	3.028210176	6744.633103	304.3351227	0
350	2.416002399	6700.199277	242.8082411	0
360	2.159057651	6619.688022	216.9852939	0
370	2.3526417	6489.520523	236.4404909	0
380	2.410901629	6367.33016	242.2956138	0
390	2.497105314	6263.787308	250.9590841	0
400	2.676238428	6137.139829	268.961962	0
410	2.354844693	6051.227763	236.6618917	0
420	2.265769862	5956.914025	227.7098712	0
430	2.326175034	5883.873826	233.7805909	0
440	2.151066235	5852.080052	216.1821566	0
450	1.958610477	5838.392755	196.840353	0
460	1.63114596	5866.909646	163.930169	0
470	1.773314897	5852.877345	178.2181471	0
480	1.585939034	5870.02638	159.3868729	0
490	1.809060896	5838.512996	181.81062	0
500	1.774974531	5831.200015	178.3849403	0
510	1.630398531	5845.585316	163.8550524	0
520	1.284658319	5877.069287	129.1081611	0
530	1.238761645	5870.03359	124.4955454	0
540	1.296002401	5858.001712	130.2482413	0
550	1.569528049	5830.643018	157.7375689	0
560	1.876382089	5799.298567	188.5763999	0
570	1.974066758	5784.49642	198.3937092	0
580	1.726727718	5804.339486	173.5361357	0
590	1.51548639	5805.43599	152.3063822	0
600	1.576858062	5747.972235	158.4742352	0
610	1.668588704	5696.987	167.6931648	0
620	1.12379622	5747.735305	112.9415201	0
630	1.379882449	5713.687121	138.6781861	0
640	0.9497299789	5756.976469	95.44786288	0
650	1.142313732	5735.725935	114.8025301	0
660	1.275290557	5712.588454	128.1667009	0
670	1.362931086	5688.743445	136.9745741	0
680	1.207272355	5701.66379	121.3308717	0
