timestep	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
0	-1838.831116	0	0
100	-845.1778717	121.6769334	150.9447749
200	-1136.318219	183.591822	229.2982101
300	-1520.503509	273.7983509	313.9428931
400	-1747.616157	356.4748177	379.23661
500	-1768.28939	398.3448191	389.2697565
600	-1724.42179	411.3512706	385.1509866
700	-1660.89959	413.0502507	379.1233835
800	-1756.830394	430.5382489	384.5065222
900	-1822.55376	397.7969209	375.0398958
1000	-1848.246633	386.2883037	386.739178
1100	-1786.136298	379.9476018	374.8973908
1200	-1841.054949	376.239971	371.1355512
1300	-1783.505954	427.5600539	348.5996346
1400	-1758.449535	397.5814281	358.0374788
1500	-1678.734632	392.5082546	388.6043189
1600	-1637.254342	377.8177947	378.0300672
1700	-1724.88913	371.8110507	380.8778536
1800	-1723.071941	371.7510195	389.3732606
1900	-1790.197614	373.1842936	358.3088991
2000	-2127.342291	398.5698458	401.1688764
2100	-1949.348054	392.1682894	351.0033984
2200	-2138.613851	381.4854429	349.265081
2300	-2084.412165	390.5949249	360.059645
2400	-2322.953943	409.7325012	375.1813962
2500	-2316.294861	399.6089876	351.5029521
2600	-2402.362239	411.0327259	347.1006264
2700	-2380.832231	367.4303843	345.820382
2800	-2308.251682	389.8941574	345.7012607
2900	-2415.304826	368.8150655	341.2705004
3000	-2515.803583	344.1536119	364.3763707
3100	-2542.75641	364.5761227	359.7244449
3200	-2753.0401	337.4787608	349.7394172
3300	-3004.314243	360.6202078	372.362302
3400	-2987.395998	385.9722365	393.4395791
3500	-3043.630608	389.3080781	404.5582112
3600	-3264.080901	387.3531676	358.3083189
3700	-3178.229829	357.7518896	375.1463584
3800	-3233.770905	375.6733431	383.8219617
3900	-3307.653485	392.0969667	386.8104543
4000	-3291.446966	391.3498796	372.6892171
4100	-3475.907678	374.9259453	362.1733162
4200	-3726.142774	386.0370978	362.8652172
4300	-4220.785771	379.0811961	416.9298752
4400	-4288.954492	373.8824768	412.93993
4500	-4295.884466	359.5183043	413.8095841
4600	-4600.670066	363.9090689	391.283275
4700	-4661.791528	395.5751799	380.7058941
4800	-4720.572991	406.7913452	382.1266047
4900	-4648.013401	392.0761755	368.8445974
5000	-4659.163593	372.4323932	374.2255304
5100	-4655.260341	364.2873573	361.4376233
5200	-4692.439581	373.3799307	359.9146334
5300	-4643.23604	366.5131531	364.6840175
5400	-4765.617014	342.2597076	365.0427293
5500	-4677.325739	325.3630091	337.3061169
5600	-4724.747627	349.4620589	328.4615384
5700	-5054.337807	371.4777531	341.7879038
5800	-5021.627114	380.8448177	362.6997401
5900	-4985.698096	350.645316	380.7036276
6000	-4981.59877	369.0892345	347.1966453
6100	-5054.741009	328.1218356	376.0704901
6200	-5136.93843	326.089797	374.6036362
6300	-5159.801702	343.3641543	397.2364003
6400	-5366.548213	345.3311651	358.504263
6500	-5407.706502	342.4196003	372.2657884
6600	-5420.145877	339.912935	391.9323786
6700	-5506.435647	321.6048367	370.1803694
6800	-5472.652292	315.69566	418.165877
6900	-5431.608594	325.728085	401.5829525
7000	-5383.749544	333.2507792	368.3559406
7100	-5407.809271	344.5137353	349.2227739
7200	-5588.684435	345.0104184	349.3095044
7300	-5474.417321	309.6893046	342.0993475
7400	-5426.519229	364.8726342	337.008336
7500	-5448.800992	347.6483941	326.0046574
7600	-5465.511873	337.6730249	348.4793294
7700	-5498.027532	329.5881519	326.620485
7800	-5498.623271	328.6508367	314.7162395
7900	-5472.938735	333.3008858	338.8571835
8000	-5395.36454	319.3294917	346.4378543
8100	-5395.879438	333.2616677	375.4048058
8200	-5433.38233	329.3721059	376.4807351
8300	-5465.785129	346.4221407	349.6877417
8400	-5469.189261	359.3022389	355.3452025
8500	-5543.167892	360.0074368	370.7755658
8600	-5568.941868	347.0633727	365.8493241
8700	-5613.291784	343.5547727	347.3719725
8800	-5609.43236	351.3207076	332.485867
8900	-5476.119928	314.9872542	337.3226547
9000	-5687.476766	338.7396287	357.6007274
9100	-5629.419871	339.7495231	351.4632497
9200	-5710.629028	342.544548	397.4436542
9300	-5655.106019	320.3497184	378.7636085
9400	-5877.005896	339.9006592	370.4958726
9500	-5932.199138	340.2493364	398.568344
9600	-5932.89285	337.8989961	392.3299309
9700	-6051.946744	347.5535359	383.7560201
9800	-5936.429133	367.2345899	346.1902209
9900	-5994.089185	372.7536677	357.0087774
10000	-6005.579725	356.9059496	382.011871
10100	-6001.431432	354.3476819	351.4001062
10200	-5991.92254	396.5012686	352.4101927
10300	-5929.444295	374.0993849	356.0225056
10400	-6085.523172	371.7301752	378.826926
10500	-5983.427372	369.4411451	374.9731423
10600	-6019.590514	348.9147922	343.8002818
10700	-6102.255172	342.9656782	369.8833978
10800	-6038.87625	319.7121221	370.921133
10900	-6012.369254	307.425934	371.7587792
11000	-6028.720915	332.9834988	350.0611579
11100	-6160.740516	333.7053886	346.0421551
11200	-6194.92963	348.6985905	350.5556005
